,telegeram_channel_id,telegram_channel_name,telegeram_channel_type,message_id,message_type,text,created_at,update_at,hashtags,emojis,symbols,links,mentions
2,1276529415,ዳዊት ፈጣን የድለላ ስራ,public_supergroup,9574,message,"ለሽያጭ የቀረበ የአያት መል ስቴት የሱቅ ሽያጭ ዋጋ 1 ኛ ላይ በካሬ 96,899 ብር 2ኛ ላይ በካሬ 94, 369 ብር 3 ኛ ላይ በካሬ 91,839 ብር መግዛት የሚቻለው የካሬ መጠን 1 ኛ ላይ 52 እና 53 ካሬ 2ኛ እና 3ኛ ላይ ከ20 ካሬ ጀምሮ እስከ 638 ካሬ ድረስ መግዛት ይችላሉ። የመጀመሪያ ክፍያ 25% ሲሆን ቀሪውን 75% በ 1 ኣመት ተኩል ከፍለው ይጨርሳሉ። የሱቁን ቦታ ግን የመጀመሪያ ክፍያውን እንደከፈሉ በስምዎ ቦታውን ይደለደላሉ። የቅናሽ መጠን የመጀመሪያ ክፍያውን 60% እና ከዚያ በላይ ሲከፍሉ እንደሚከተለዉ ቅናሽ ያገኛሉ። ክፍያው 100% ከሆነ 25% 9አ% ከሆነ 23% 75% ከሆነ 19% 60 % ከሆነ 15% ቅናሽ ይኖሮታል። ‍ ዉድ ደንበኞቻችን ስለመረጣቹን እናመሰግናለን! ለበለጠ መረጃ፡",2022-07-26T11:16:28,2022-09-08T18:13:21,[],♦️     ✔️   👇👇                                                                                                                                         🧍♂           ☎️   📞,--,[],[]
4,1276529415,ዳዊት ፈጣን የድለላ ስራ,public_supergroup,9891,message,"የሚሸጥ ዘመናዊ G+2 ቤት በአሪፍ የተሰራ ቆንጆ ቤት ለመኖሪያ አመቺ ቦታ ሰፈር ሰሚት ጎሪግስ አካባቢ ስፋት 250 ካሬሜ ዋጋ 40,000,000 ሚሊዮን ‍ ዉድ ደንበኞቻችን ስለመረጣቹን እናመሰግናለን! ለበለጠ መረጃ፡",2022-08-16T20:41:25,2022-08-17T06:10:52,[],♦️             👉         👉       👉       🧍♂           ☎️   📞,-,[],[]
7,1276529415,ዳዊት ፈጣን የድለላ ስራ,public_supergroup,10101,message,"የሚሸጥ በጣም ቆንጆ ዘመናዊ ቤት G+2 ዋና አስፓልት ዳር ቲ/ላይ በአስፓልት ያለዉ ለቢዝነስና ለአፓርታማ የተሰራ ባለ 2 መኝታ 2 አባወራ ባለ 1 መኝታ 2 አባወራ አለ በኮንፓዉድ ዉስጥ ያለዉ ቆንጆ መኖሪያ ቤት ነዉ ሰፈር አያት ስፋት 440 ካሬሜ ዋጋ 75,000,000 ሚሊዮን ይባላል ‍ ዉድ ደንበኞቻችን ስለመረጣቹን እናመሰግናለን! ለበለጠ መረጃ፡",2022-09-01T06:01:52,2022-09-17T09:42:42,[],♦️       ✔️         ✔️     ✔️      ✔️      ✔️        👉          👉      👉      🧍♂           ☎️   📞,-,[],[]
9,1276529415,ዳዊት ፈጣን የድለላ ስራ,public_supergroup,10103,message,"የሚሸጥ ለ አፓሪትሜንት የተሰራ G+5 አሁን በአለበት ደረጃ ይሸጣል ። ለቲሪፍ የሚሆን ቤት ነዉ ሰፈር ሳሚት አካባቢ ስፋት 864 ካሬሜ ቤቱ ያረፈበት 792 ካሬሜ ዋጋ 80,000,000 ሚሊዮን ይባላል በባንክ አይሸጥም በካሺ ብቻ ‍ ዉድ ደንበኞቻችን ስለመረጣቹን እናመሰግናለን! ለበለጠ መረጃ፡",2022-09-01T06:09:07,2022-09-21T11:19:49,[],♦️          ✔️     👉      👉      👉        👉      👉      🧍♂           ☎️   📞,-,[],[]
10,1276529415,ዳዊት ፈጣን የድለላ ስራ,public_supergroup,10151,message,"የሚካራይ ጋስታዉስ ባለ 2 መኝታ በጣም ቆንጆ ዘመናዊ ቤት ሰፈር አያት ኖህ ሪል ስቴት ዉስጥ ዋጋ 50,000 ሺህ ብር ‍ ዉድ ደንበኞቻችን ስለመረጣቹን እናመሰግናለን! ለበለጠ መረጃ፡",2022-09-05T14:50:36,2022-09-05T14:55:35,[],♦️           👉         👉       🧍♂           ☎️   📞,-,[],[]
17,1276529415,ዳዊት ፈጣን የድለላ ስራ,public_supergroup,10204,message,እንኳን ለ 2015 ኣም አዲሱ አመት በሰላም አደረሰን አደረሳችሁ መጪው ዘመን የሰላም የፍቅር የአብሮነት የስኬት የመፅናናት የእውቀት የማስተዋልና የደስታ እና የስኬት ዘመን ይሁንልን ። መልካም አዲስ ኣመት!,2022-09-10T20:40:00,2022-09-10T20:41:25,[],🌻🌻🌻🌻🌻🌻🌻🌻🌻🌻🌻🌻                              🌸🌼🌻🌸🌼🌻🌸🌼🌻,,[],[]
18,1276529415,ዳዊት ፈጣን የድለላ ስራ,public_supergroup,10217,message,የሚሸጥ ዘመናዊ ቤት B+G+2 ለመኖሪያ አመቺ ቦታ ( ኮንፓዉንድ ዉስጥ ነዉ ) ሰፈር አያት አካባቢ ስፋት 250 ካሬሜ 2 ሳሎን 2 ኪችን 8 መኝታ 6 መታጠቢያ 3 መኪና የሚያቆም ዋጋ 45 ሚሊየን ይባላል ‍ ዉድ ደንበኞቻችን ስለመረጣቹን እናመሰግናለን! ለበለጠ መረጃ፡,2022-09-14T12:31:50,2022-10-02T09:12:00,[],♦️     ✔️           👉     👉    👉   👉   👉    👉    👉    👉      🧍♂     ☎️   📞,-,[],[]
21,1276529415,ዳዊት ፈጣን የድለላ ስራ,public_supergroup,10299,message,የሚሸጥ ዘመናዊ G+3 ቤት ለመኖሪያ አመቺ ቦታ ኮፓዉንድ ዉስጥ ሰፈር አያት ዞን8 አከባቢ ስፋት 200 ካሬሜ ዋጋ 32 ሚሊዮን ይባላል ‍ ዉድ ደንበኞቻችን ስለመረጣቹን እናመሰግናለን! ለበለጠ መረጃ፡,2022-09-17T06:06:24,2022-09-17T09:05:20,[],♦️           👉       👉     👉       🧍♂     ☎️   📞,-,[],[]
30,1276529415,ዳዊት ፈጣን የድለላ ስራ,public_supergroup,10346,message,"በአስቸኳይ የሚሸጥ ዘመናዊ G+2 ቤት ለመኖሪያ በደንብ የተሰራ አዲስ ቤት የተጠቃሙበት ማተሪያል በጣም ኳሊት የሆነ ቆንጆ የተሰራ ነዉ። ሰፈር አያት አካባቢ ስፋት 250 ካሬሜ ዋጋ 35,000,000 ሚሊየን ይባላል የሊዝ 3,000,000 ሚ አለበት ‍ ዉድ ደንበኞቻችን ስለመረጣቹን እናመሰግናለን ለበለጠ መረጃ፡",2022-09-19T20:24:49,2022-11-01T02:40:13,[],♦️                   👉      👉     👉      👉      🧍♂     ☎️   📞,-,[],[]
42,1276529415,ዳዊት ፈጣን የድለላ ስራ,public_supergroup,10560,message,"የሚሸጥ ዘመናዊ B+G+2 ቤት ለመኖሪያ አመቺ ቦታ ከአስፓልት 50 ሜትር ብቻ የገባ (ኮንፓዉንድ ዉስጥ) ሰፈር አያት አከባቢ ስፋት 250 ካሬሜ ዋጋ 40,000,000 ሚሊየን ይባላል ‍ ዉድ ደንበኞቻችን ስለመረጣቹን እናመሰግናለን! ለበለጠ መረጃ፡",2022-10-07T06:06:28,2022-12-15T12:28:19,[],♦️               👉      👉     👉       🧍♂     ☎️   📞,-,[],[]
46,1276529415,ዳዊት ፈጣን የድለላ ስራ,public_supergroup,10576,message,"የሚሸጥ ቆንጆ G+2 ቤት ለመኖሪያ አመቺ ቦታ ኮምፓዉንድ ዉስጥ ሰፈር CMC ፊጋ ስፋት 175 ካሬሜ ዋጋ 25,500,000 ሚሊየን ‍ ዉድ ደንበኞቻችን ስለመረጣቹን እናመሰግናለን! ‍ Kabajamoo maamiltoota keenya waan nufilattaniif dursinee isin galatefanna! ለበለጠ መረጃ፡ Odeeffannoo Dabalataaf",2022-10-09T15:12:01,2022-10-09T16:31:20,[],♦️          👉      👉     👉     🧍♂     🧍♂         ☎️   ☎️   📞,-,[],[]
59,1276529415,ዳዊት ፈጣን የድለላ ስራ,public_supergroup,10834,message,"የሚሸጥ ሌሊሼፕ ቤት የዲሮ ነባሪ ካሪታ ሰፈር ቦሌ አራብሳ ቃጥላ አካባቢ ስፋት 250 ካ/ሜ ዋጋ 10,500,000 ሚሊየን ይባላል ‍ ዉድ ደንበኞቻችን ስለመረጣቹን እናመሰግናለን! ለበለጠ መረጃ፡",2022-11-01T06:19:24,2022-11-06T09:20:21,[],♦️       👉      👉     ✅      🧍♂     ☎️   📞,-,[],[]
60,1276529415,ዳዊት ፈጣን የድለላ ስራ,public_supergroup,10903,message,"የሚሸጥ ዘመናዊ ቤት G+2 ቤት ፊኒሽግ ላይ ያለዉ ( የዉስጥ ፓርትሽን አለታካፋፈሌም ) ሰፈር አራብሳ ዲያስፖራ ስፋት 150 ካሬሜ ዋጋ 14,500,000 ሚሊየን ‍ ዉድ ደንበኞቻችን ስለመረጣቹን እናመሰግናለን ለበለጠ መረጃ፡",2022-11-06T08:31:03,2022-11-13T13:05:14,[],♦️              👉      👉     ✅     🧍♂     ☎️   📞,-,[],[]
63,1276529415,ዳዊት ፈጣን የድለላ ስራ,public_supergroup,10919,message,"የሚሸጥ በጣም ቆንጆ ዘመናዊ ቤት G+3 ለመኖሪያ አመቺ ቦታ ከአስፓልት 2ተኛ ቤት ሰፈር አያት አካባቢ ኮንፓዉድ ዉስጥ ስፋት 250 ካ/ሜ ዋጋ 51,000,000 ሚሊየን ድርድር አለዉ ‍ ዉድ ደንበኞቻችን ስለመረጣቹን እናመሰግናለን! ለበለጠ መረጃ፡",2022-11-06T20:11:27,2022-11-12T11:28:16,[],♦️             👉      👉       ✅       🧍♂     ☎️   📞,-,[],[]
80,1276529415,ዳዊት ፈጣን የድለላ ስራ,public_supergroup,10955,message,"የሚሸጥ በጣም ቆንጆ ቤት G+2 ሰፈር አያት አካባቢ ስፋት 250 ካ/ሜ ዋጋ 37,000,000 ሚሊየን ‍ ዉድ ደንበኞቻችን ስለመረጣቹን እናመሰግናለን! ለበለጠ መረጃ፡",2022-11-09T20:46:09,2023-04-19T06:34:32,[],♦️      👉    👉     👉     🧍♂     ☎️   📞,-,[],[]
81,1276529415,ዳዊት ፈጣን የድለላ ስራ,public_supergroup,10970,message,"የሚሸጥ ህንፃ አስፓልት ዳር G+5 ለቢዝነስ የተሰራ ሰፈር ቤተለ ዘነባወርቅ ታቦት መዳራ አካባቢ ስፋት 186 ካ/ሜ ዋጋ 61,000,000 ሚሊየን ድርድር አለዉ ‍ ዉድ ደንበኞቻችን ስለመረጣቹን እናመሰግናለን! ለበለጠ መረጃ፡",2022-11-11T19:58:55,2022-11-23T11:31:17,[],♦️        👉       👉     👉      🧍♂     ☎️   📞,-,[],[]
83,1276529415,ዳዊት ፈጣን የድለላ ስራ,public_supergroup,11052,message,"የሚሸጥ የዲሮ ቪላ እና ብዙ ክለስ ቤቶች የአለዉ ሰፈር መሪ አካባቢ ስፋት 330 ካ/ሜ ዋጋ 27,000,000 ሚሊየን ድርድር አለዉ ‍ ዉድ ደንበኞቻችን ስለመረጣቹን እናመሰግናለን! ለበለጠ መረጃ፡",2022-11-18T18:37:38,2022-11-20T12:09:59,[],♦️         👉     👉     ✅     🧍♂     ☎️   📞,-,[],[]
85,1276529415,ዳዊት ፈጣን የድለላ ስራ,public_supergroup,11183,message,"የሚሸጥ ቆንጆ ቤት G+1 ለመኖሪያ አመቺ ቦታ ከአስፓልት 20ሜትር ብቻ የገባ ሰፈር ሲኤምሲ ፊጋ አካባቢ ስፋት 175 ካ/ሜ ዋጋ 30,000,000 ሚሊየን ይባላል ‍ ዉድ ደንበኞቻችን ስለመረጣቹን እናመሰግናለን! ለበለጠ መረጃ፡",2023-01-30T17:06:05,2023-01-30T17:29:03,[],♦️            👉     👉     👉      🧍♂     ☎️   📞,-,[],[]
88,1276529415,ዳዊት ፈጣን የድለላ ስራ,public_supergroup,11198,message,"የሚሸጥ ዘመናዊ ቪላ ቤት ለመኖሪያ አመቺ ቦታ ሰፈር አያት አከባቢ ስፋት 225 ካ/ሜ ዋጋ 29,000,000 ሚሊየን ይባላል ‍ ዉድ ደንበኞቻችን ስለመረጣቹን እናመሰግናለን! ለበለጠ መረጃ፡",2023-01-31T15:24:35,2023-02-03T20:54:25,[],♦️         👉    👉     👉       🧍♂     ☎️   📞,-,[],[]
99,1276529415,ዳዊት ፈጣን የድለላ ስራ,public_supergroup,11399,message,የሚሸጥ ዘመናዊ G+3 ቤት ሰፈር ሰሚት 72 ስፋት 72 ካሬሜ ዋጋ 18 ሚሊየን ልማት የለማ ሰፋር 2% ኮምሽን ለስራችን እናስከፍላለን ‍ ዉድ ደንበኞቻችን ስለመረጣቹን እናመሰግናለን! ለበለጠ መረጃ፡,2023-03-14T21:13:54,2023-12-29T19:57:18,[],♦️      👉   👉    👉     👉     ❗️      🧍♂     ☎️   📞,-,[],[]
107,1276529415,ዳዊት ፈጣን የድለላ ስራ,public_supergroup,11496,message,"የሚሸጥ ለB+G+4 የተሰራ አሁን በአለበት ይሸጣል ሰፈር አያት አካባቢ ስፋት 300 ካሬሜ ዋጋ ከነ ሊህዚ 23,000,000 ሚሊየን ይባላል 2% ኮምሽን ለስራችን እናስከፍላለን ‍ ዉድ ደንበኞቻችን ስለመረጣቹን እናመሰግናለን! ለበለጠ መረጃ፡",2023-03-22T18:43:54,2023-06-08T18:07:36,[],♦️       👉     👉     👉       ❗️      🧍♂     ☎️   📞,-,[],[]
108,1276529415,ዳዊት ፈጣን የድለላ ስራ,public_supergroup,11497,message,"የሚሸጥ ለB+G+4 የተሰራ አሁን በአለበት ይሸጣል ሰፈር አያት አካባቢ ስፋት 300 ካሬሜ ዋጋ ከነ ሊህዚ 25,000,000 ሚሊየን ይባላል 2% ኮምሽን ለስራችን እናስከፍላለን ‍ ዉድ ደንበኞቻችን ስለመረጣቹን እናመሰግናለን! ለበለጠ መረጃ፡",2023-03-22T18:54:22,2023-06-08T18:07:37,[],♦️       👉     👉     👉       ❗️      🧍♂     ☎️   📞,-,[],[]
109,1276529415,ዳዊት ፈጣን የድለላ ስራ,public_supergroup,11498,message,"የሚሸጥ G+2 ዘመናዊ ቤት ሰፈር አያት አካባቢ ስፋት 150 ካሬሜ ዋጋ 35,000,000 ሚሊየን ይባላል 2% ኮምሽን ለስራችን እናስከፍላለን ‍ ዉድ ደንበኞቻችን ስለመረጣቹን እናመሰግናለን! ለበለጠ መረጃ፡",2023-03-22T22:05:55,2023-03-22T22:20:30,[],♦️      👉     👉     👉    ❗️      🧍♂     ☎️   📞,-,[],[]
112,1276529415,ዳዊት ፈጣን የድለላ ስራ,public_supergroup,11551,message,"ለG+2 የተሰራ ቤት አሁን በአለበት ይሸጣል ሰፈር አያት አካባቢ ስፋት 90 ካሬሜ ዋጋ 13,000,000 ሚሊየን ይባላል 2% ኮምሽን ለስራችን እናስከፍላለን ‍ ዉድ ደንበኞቻችን ስለመረጣቹን እናመሰግናለን! ለበለጠ መረጃ፡",2023-03-25T20:22:02,2023-05-03T22:19:25,[],♦️       👉     👉     👉     ❗️      🧍♂     ☎️   📞,-,[],[]
113,1276529415,ዳዊት ፈጣን የድለላ ስራ,public_supergroup,11573,message,"የሚሸጥ ዘመናዊ ቪላ ቤት ለመኖሪያ አመቺ ቦታ ልማት የለማ መንደር ሰፈር አያት ስፋት 250 ካሬሜ 1 ሳሎን 1 ኪችን 3 መኝታ 2 መታጠቢያ 2 ሰሪቪስ 1መታጠቢያ 3 መኪና የሚያቆም ዋጋ 30,000,000 ሚሊየን ይባላል 2% ኮምሽን ለስራችን እናስከፍላለን ‍ ዉድ ደንበኞቻችን ስለመረጣቹን እናመሰግናለን! ለበለጠ መረጃ፡",2023-03-26T06:14:56,2023-09-10T22:14:41,[],❤         ✔️    👉    👉    👉   👉   👉    👉    👉    👉    👉    ❗️       🧍♂     ☎️   📞,-,[],[]
